
Temperature Humidity LiGht Moisture Class

20 56 240 45 Good

17 58 246 51 Good

19 60 224 50 Good

16 52 201 44 Good

17 54 228 46 Good

18 64 241 69 Good

15 50 232 39 Good

16 69 231 51 Good

15 50 239 41 Good

20 61 222 39 Good

17 68 219 66 Good

17 51 244 70 Good

17 70 227 35 Good

19 70 241 41 Good

20 59 217 70 Good

19 53 214 56 Good

19 68 206 34 Good

20 52 227 61 Good

16 70 225 66 Good

16 51 242 68 Good

20 53 247 34 Good

16 55 245 48 Good

15 57 206 38 Good

15 53 214 36 Good

20 59 218 46 Good

16 67 228 35 Good

19 59 226 70 Good

18 57 209 49 Good

18 68 235 44 Good

20 60 249 43 Good

19 69 222 60 Good

18 59 238 70 Good

15 50 249 68 Good

20 53 208 44 Good

15 70 205 33 Good

18 60 239 45 Good

16 63 230 50 Good

20 50 211 38 Good

19 55 207 36 Good

16 50 247 65 Good

15 66 216 38 Good

15 55 220 32 Good

15 63 202 62 Good

16 59 221 49 Good

15 52 233 62 Good

19 55 232 39 Good

20 65 219 48 Good

16 64 203 58 Good

19 53 239 31 Good

17 55 245 64 Good

8 29 160 25 Bad

5 22 114 18 Bad

13 5 183 12 Bad

9 12 179 5 Bad

6 46 116 9 Bad

5 44 150 2 Bad

2 18 50 16 Bad

7 44 111 11 Bad

14 48 169 27 Bad

6 13 106 20 Bad

8 36 92 27 Bad

6 8 117 8 Bad

4 21 85 81 Bad

13 26 195 95 Bad

4 79 145 79 Bad

6 71 137 74 Bad

7 99 51 86 Bad

7 99 91 77 Bad

6 98 57 78 Bad

1 83 70 88 Bad

14 81 159 95 Bad

11 77 137 86 Bad

1 89 62 93 Bad

13 95 192 73 Bad

9 86 121 82 Bad

6 91 177 96 Bad

6 78 63 90 Bad

11 87 134 85 Bad

8 93 166 86 Bad

23 38 119 6 Bad

21 10 148 3 Bad

30 4 80 28 Bad

25 30 60 23 Bad

29 26 65 10 Bad

27 31 157 1 Bad

24 43 67 2 Bad

22 29 73 22 Bad

30 39 71 6 Bad

30 22 188 91 Bad

24 82 156 79 Bad

25 82 109 90 Bad

21 81 80 96 Bad

21 76 132 89 Bad

22 93 149 79 Bad

23 81 145 81 Bad

21 82 109 74 Bad

24 96 147 96 Bad

24 89 70 76 Bad

29 83 115 88 Bad

24 95 68 92 Bad

15 65 229 45 Good

18 5 225 64 Good

17 61 243 46 Good

17 67 224 47 Good

20 70 225 54 Good

15 67 203 57 Good

18 51 236 43 Good

15 52 239 60 Good

15 59 220 66 Good

18 53 234 67 Good

16 52 205 40 Good

15 66 248 47 Good

20 60 240 68 Good

16 65 240 62 Good

16 60 201 59 Good

16 59 232 49 Good

15 70 243 38 Good

17 52 248 58 Good

19 62 245 32 Good

17 63 219 43 Good

20 65 222 63 Good

19 57 233 66 Good

16 59 225 41 Good

17 66 222 56 Good

17 55 211 53 Good

17 60 225 31 Good

18 68 228 35 Good

16 67 246 68 Good

15 57 210 58 Good

15 56 207 60 Good

20 69 241 37 Good

18 69 202 67 Good

16 52 250 31 Good

16 63 234 62 Good

16 51 241 33 Good

16 53 244 39 Good

19 69 238 38 Good

16 66 224 68 Good

19 70 217 30 Good

16 56 247 42 Good

16 60 204 37 Good

17 70 223 35 Good

15 68 200 51 Good

15 60 245 62 Good

16 61 222 47 Good

19 64 206 41 Good

20 70 224 67 Good

20 56 243 59 Good

18 50 218 61 Good

19 58 225 66 Good

24 1 179 9 Bad

22 4 59 76 Bad

10 27 184 93 Bad

10 43 111 19 Bad

14 40 87 15 Bad

10 98 178 6 Bad

13 91 139 22 Bad

28 93 190 5 Bad

23 76 128 87 Bad

27 94 130 96 Bad

25 39 58 75 Bad

27 34 117 76 Bad

10 3 86 82 Bad

11 8 70 20 Bad

7 30 152 7 Bad

3 77 151 2 Bad

2 96 157 9 Bad

22 82 181 27 Bad

25 92 101 82 Bad

22 82 94 73 Bad

30 33 123 88 Bad

24 46 197 92 Bad

2 38 79 94 Bad

14 27 189 10 Bad

5 27 61 13 Bad

11 94 135 25 Bad

10 99 62 23 Bad

26 71 117 11 Bad

22 83 177 72 Bad

21 71 182 75 Bad

28 49 87 92 Bad

22 22 127 94 Bad

11 6 127 90 Bad

10 8 76 11 Bad

6 23 119 24 Bad

3 76 141 1 Bad

4 75 124 10 Bad

25 87 198 21 Bad

22 92 100 76 Bad

25 85 83 82 Bad

21 4 120 87 Bad

22 22 169 82 Bad

5 20 124 88 Bad

14 33 115 5 Bad

12 1 59 22 Bad

12 73 129 15 Bad

9 97 137 14 Bad

28 75 157 10 Bad

25 76 172 88 Bad

27 79 139 93 Bad
